2026-06-28 17:24:24,347 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:25:26,261 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:25:26,400 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:25:26,400 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:26:24,420 | INFO     | src.excel.exporter | Loading report data...
2026-06-28 17:26:24,420 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:26:24,421 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:26:24,450 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:26:24,450 | INFO     | src.excel.exporter | 50 rows loaded.
2026-06-28 17:26:24,450 | INFO     | src.excel.exporter | Generating Excel: exports\Holonet_20260628_172624.xlsx
2026-06-28 17:26:24,568 | INFO     | src.excel.exporter | Excel generated successfully.
2026-06-28 17:26:25,569 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:26:25,893 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:26:25,895 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:26:26,433 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:26:26,435 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:26:26,435 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:26:26,435 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:26:26,449 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:26:26,449 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:26:26,449 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:26:26,996 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:26:27,001 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:26:27,001 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:26:27,002 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:26:27,164 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:26:27,164 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:27:26,188 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:27:26,537 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:27:26,539 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:27:27,011 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:27:27,013 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:27:27,013 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:27:27,013 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:27:27,036 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:27:27,036 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:27:27,036 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:27:27,541 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:27:27,546 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:27:27,546 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:27:27,547 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:27:27,700 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:27:27,700 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:28:24,723 | INFO     | src.excel.exporter | Loading report data...
2026-06-28 17:28:24,724 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:28:24,724 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:28:24,754 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:28:24,754 | INFO     | src.excel.exporter | 50 rows loaded.
2026-06-28 17:28:24,754 | INFO     | src.excel.exporter | Generating Excel: exports\Holonet_20260628_172824.xlsx
2026-06-28 17:28:24,859 | INFO     | src.excel.exporter | Excel generated successfully.
2026-06-28 17:28:26,860 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:28:27,360 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:28:27,361 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:28:27,844 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:28:27,845 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:28:27,845 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:28:27,846 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:28:27,858 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:28:27,859 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:28:27,859 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:28:28,376 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:28:28,384 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:28:28,384 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:28:28,384 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:28:28,533 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:28:28,533 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:29:27,555 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:29:27,903 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:29:27,904 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:29:28,467 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:29:28,469 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:29:28,469 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:29:28,470 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:29:28,494 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:29:28,494 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:29:28,494 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:29:29,012 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:29:29,017 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:29:29,017 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:29:29,018 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:29:29,216 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:29:29,216 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:30:25,236 | INFO     | src.excel.exporter | Loading report data...
2026-06-28 17:30:25,237 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:30:25,239 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:30:25,272 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:30:25,273 | INFO     | src.excel.exporter | 50 rows loaded.
2026-06-28 17:30:25,273 | INFO     | src.excel.exporter | Generating Excel: exports\Holonet_20260628_173025.xlsx
2026-06-28 17:30:25,410 | INFO     | src.excel.exporter | Excel generated successfully.
2026-06-28 17:30:28,411 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:30:28,788 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:30:28,789 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:30:29,317 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:30:29,318 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:30:29,318 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:30:29,318 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:30:29,332 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:30:29,332 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:30:29,332 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:30:29,959 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:30:29,965 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:30:29,965 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:30:29,965 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:30:30,140 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:30:30,140 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:31:29,162 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:31:29,511 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:31:29,512 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:31:30,007 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:31:30,009 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:31:30,009 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:31:30,014 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:31:30,026 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:31:30,026 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:31:30,026 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:31:30,482 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:31:30,488 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:31:30,488 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:31:30,488 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:31:30,644 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:31:30,644 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:32:25,667 | INFO     | src.excel.exporter | Loading report data...
2026-06-28 17:32:25,667 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:32:25,668 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:32:25,682 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:32:25,683 | INFO     | src.excel.exporter | 50 rows loaded.
2026-06-28 17:32:25,683 | INFO     | src.excel.exporter | Generating Excel: exports\Holonet_20260628_173225.xlsx
2026-06-28 17:32:25,799 | INFO     | src.excel.exporter | Excel generated successfully.
2026-06-28 17:32:29,800 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:32:30,134 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:32:30,136 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:32:30,650 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:32:30,651 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:32:30,651 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:32:30,651 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:32:30,662 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:32:30,662 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:32:30,662 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:32:31,154 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:32:31,160 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:32:31,160 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:32:31,161 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:32:31,305 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:32:31,305 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:33:30,327 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:33:30,640 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:33:30,641 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:33:31,130 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:33:31,132 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:33:31,132 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:33:31,132 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:33:31,147 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:33:31,147 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:33:31,147 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:33:31,661 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:33:31,668 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:33:31,668 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:33:31,668 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:33:31,860 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:33:31,860 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:34:25,880 | INFO     | src.excel.exporter | Loading report data...
2026-06-28 17:34:25,880 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:34:25,880 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:34:25,893 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:34:25,893 | INFO     | src.excel.exporter | 50 rows loaded.
2026-06-28 17:34:25,894 | INFO     | src.excel.exporter | Generating Excel: exports\Holonet_20260628_173425.xlsx
2026-06-28 17:34:26,007 | INFO     | src.excel.exporter | Excel generated successfully.
2026-06-28 17:34:31,009 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:34:31,535 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:34:31,537 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:34:32,008 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:34:32,009 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:34:32,009 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:34:32,009 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:34:32,021 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:34:32,021 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:34:32,021 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:34:32,508 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:34:32,512 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:34:32,512 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:34:32,513 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:34:32,662 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:34:32,662 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:35:31,686 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:35:32,127 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:35:32,129 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:35:32,631 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:35:32,632 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:35:32,632 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:35:32,633 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:35:32,650 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:35:32,650 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:35:32,650 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:35:33,125 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:35:33,130 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:35:33,130 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:35:33,131 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:35:33,267 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:35:33,268 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:36:26,300 | INFO     | src.excel.exporter | Loading report data...
2026-06-28 17:36:26,300 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:36:26,300 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:36:26,329 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:36:26,329 | INFO     | src.excel.exporter | 50 rows loaded.
2026-06-28 17:36:26,329 | INFO     | src.excel.exporter | Generating Excel: exports\Holonet_20260628_173626.xlsx
2026-06-28 17:36:26,441 | INFO     | src.excel.exporter | Excel generated successfully.
2026-06-28 17:36:32,443 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:36:32,768 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:36:32,769 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:36:33,250 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:36:33,251 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:36:33,251 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:36:33,252 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:36:33,267 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:36:33,267 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:36:33,267 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:36:33,844 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:36:33,848 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:36:33,848 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:36:33,849 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:36:33,997 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:36:33,997 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:37:33,019 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:37:33,516 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:37:33,517 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:37:34,027 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:37:34,028 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:37:34,028 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:37:34,029 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:37:34,049 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:37:34,050 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:37:34,050 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:37:34,540 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:37:34,545 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:37:34,545 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:37:34,546 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:37:34,700 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:37:34,701 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:38:26,723 | INFO     | src.excel.exporter | Loading report data...
2026-06-28 17:38:26,723 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:38:26,724 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:38:26,745 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:38:26,745 | INFO     | src.excel.exporter | 50 rows loaded.
2026-06-28 17:38:26,746 | INFO     | src.excel.exporter | Generating Excel: exports\Holonet_20260628_173826.xlsx
2026-06-28 17:38:26,896 | INFO     | src.excel.exporter | Excel generated successfully.
2026-06-28 17:38:33,899 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:38:34,789 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:38:34,790 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:38:35,246 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:38:35,247 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:38:35,248 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:38:35,248 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:38:35,261 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:38:35,261 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:38:35,261 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:38:35,732 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:38:35,737 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:38:35,737 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:38:35,737 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:38:35,914 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:38:35,914 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:39:33,936 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:39:34,251 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:39:34,252 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:39:34,742 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:39:34,744 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:39:34,744 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:39:34,745 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:39:34,767 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:39:34,767 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:39:34,767 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:39:35,212 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:39:35,216 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:39:35,216 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:39:35,218 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:39:35,398 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:39:35,398 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:40:27,419 | INFO     | src.excel.exporter | Loading report data...
2026-06-28 17:40:27,419 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:40:27,420 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:40:27,458 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:40:27,458 | INFO     | src.excel.exporter | 50 rows loaded.
2026-06-28 17:40:27,458 | INFO     | src.excel.exporter | Generating Excel: exports\Holonet_20260628_174027.xlsx
2026-06-28 17:40:27,570 | INFO     | src.excel.exporter | Excel generated successfully.
2026-06-28 17:40:34,573 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:40:34,901 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:40:34,902 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:40:35,382 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:40:35,383 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:40:35,383 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:40:35,384 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:40:35,393 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:40:35,393 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:40:35,393 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:40:35,925 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:40:35,929 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:40:35,929 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:40:35,930 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:40:36,093 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:40:36,093 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:41:35,118 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:41:35,458 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:41:35,460 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:41:35,927 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:41:35,928 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:41:35,928 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:41:35,929 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:41:35,951 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:41:35,951 | INFO     | src.database.repository | Products saved successfully.
